event_id,event_title,event_volume,event_liquidity,n_markets,market_id,question,p_yes_mid,p_yes_mid_valid,best_bid,best_ask,end_date
30829,Democratic Presidential Nominee 2028,1264485222.5733736,80047876.67593,128,559739,Will Person BF win the 2028 Democratic presidential nomination?,,False,0.0,1.0,2028-11-07T00:00:00Z
30829,Democratic Presidential Nominee 2028,1264485222.5733736,80047876.67593,128,559740,Will Person BG win the 2028 Democratic presidential nomination?,,False,0.0,1.0,2028-11-07T00:00:00Z
30829,Democratic Presidential Nominee 2028,1264485222.5733736,80047876.67593,128,559741,Will Person BH win the 2028 Democratic presidential nomination?,,False,0.0,1.0,2028-11-07T00:00:00Z
30829,Democratic Presidential Nominee 2028,1264485222.5733736,80047876.67593,128,559742,Will Person BI win the 2028 Democratic presidential nomination?,,False,0.0,1.0,2028-11-07T00:00:00Z
30829,Democratic Presidential Nominee 2028,1264485222.5733736,80047876.67593,128,559743,Will Person BJ win the 2028 Democratic presidential nomination?,,False,0.0,1.0,2028-11-07T00:00:00Z
30829,Democratic Presidential Nominee 2028,1264485222.5733736,80047876.67593,128,559744,Will Person BK win the 2028 Democratic presidential nomination?,,False,0.0,1.0,2028-11-07T00:00:00Z
30829,Democratic Presidential Nominee 2028,1264485222.5733736,80047876.67593,128,559745,Will Person BL win the 2028 Democratic presidential nomination?,,False,0.0,1.0,2028-11-07T00:00:00Z
30829,Democratic Presidential Nominee 2028,1264485222.5733736,80047876.67593,128,559746,Will Person BM win the 2028 Democratic presidential nomination?,,False,0.0,1.0,2028-11-07T00:00:00Z
30829,Democratic Presidential Nominee 2028,1264485222.5733736,80047876.67593,128,559747,Will Person BN win the 2028 Democratic presidential nomination?,,False,0.0,1.0,2028-11-07T00:00:00Z
30829,Democratic Presidential Nominee 2028,1264485222.5733736,80047876.67593,128,559748,Will Person BO win the 2028 Democratic presidential nomination?,,False,0.0,1.0,2028-11-07T00:00:00Z
30829,Democratic Presidential Nominee 2028,1264485222.5733736,80047876.67593,128,559749,Will Person BP win the 2028 Democratic presidential nomination?,,False,0.0,1.0,2028-11-07T00:00:00Z
30829,Democratic Presidential Nominee 2028,1264485222.5733736,80047876.67593,128,559750,Will Person BQ win the 2028 Democratic presidential nomination?,,False,0.0,1.0,2028-11-07T00:00:00Z
30829,Democratic Presidential Nominee 2028,1264485222.5733736,80047876.67593,128,559751,Will Person BR win the 2028 Democratic presidential nomination?,,False,0.0,1.0,2028-11-07T00:00:00Z
30829,Democratic Presidential Nominee 2028,1264485222.5733736,80047876.67593,128,559752,Will Person BS win the 2028 Democratic presidential nomination?,,False,0.0,1.0,2028-11-07T00:00:00Z
30829,Democratic Presidential Nominee 2028,1264485222.5733736,80047876.67593,128,559753,Will Person BT win the 2028 Democratic presidential nomination?,,False,0.0,1.0,2028-11-07T00:00:00Z
30829,Democratic Presidential Nominee 2028,1264485222.5733736,80047876.67593,128,559754,Will Person BU win the 2028 Democratic presidential nomination?,,False,0.0,1.0,2028-11-07T00:00:00Z
30829,Democratic Presidential Nominee 2028,1264485222.5733736,80047876.67593,128,559755,Will Person BV win the 2028 Democratic presidential nomination?,,False,0.0,1.0,2028-11-07T00:00:00Z
30829,Democratic Presidential Nominee 2028,1264485222.5733736,80047876.67593,128,559756,Will Person BW win the 2028 Democratic presidential nomination?,,False,0.0,1.0,2028-11-07T00:00:00Z
30829,Democratic Presidential Nominee 2028,1264485222.5733736,80047876.67593,128,559757,Will Person BX win the 2028 Democratic presidential nomination?,,False,0.0,1.0,2028-11-07T00:00:00Z
30829,Democratic Presidential Nominee 2028,1264485222.5733736,80047876.67593,128,559758,Will Person BY win the 2028 Democratic presidential nomination?,,False,0.0,1.0,2028-11-07T00:00:00Z
30829,Democratic Presidential Nominee 2028,1264485222.5733736,80047876.67593,128,559759,Will Person BZ win the 2028 Democratic presidential nomination?,,False,0.0,1.0,2028-11-07T00:00:00Z
30829,Democratic Presidential Nominee 2028,1264485222.5733736,80047876.67593,128,559760,Will Person CA win the 2028 Democratic presidential nomination?,,False,0.0,1.0,2028-11-07T00:00:00Z
30829,Democratic Presidential Nominee 2028,1264485222.5733736,80047876.67593,128,559761,Will Person CB win the 2028 Democratic presidential nomination?,,False,0.0,1.0,2028-11-07T00:00:00Z
30829,Democratic Presidential Nominee 2028,1264485222.5733736,80047876.67593,128,559762,Will Person CC win the 2028 Democratic presidential nomination?,,False,0.0,1.0,2028-11-07T00:00:00Z
30829,Democratic Presidential Nominee 2028,1264485222.5733736,80047876.67593,128,559763,Will Person CD win the 2028 Democratic presidential nomination?,,False,0.0,1.0,2028-11-07T00:00:00Z
30829,Democratic Presidential Nominee 2028,1264485222.5733736,80047876.67593,128,559764,Will Person CE win the 2028 Democratic presidential nomination?,,False,0.0,1.0,2028-11-07T00:00:00Z
30829,Democratic Presidential Nominee 2028,1264485222.5733736,80047876.67593,128,559765,Will Person CF win the 2028 Democratic presidential nomination?,,False,0.0,1.0,2028-11-07T00:00:00Z
30829,Democratic Presidential Nominee 2028,1264485222.5733736,80047876.67593,128,559766,Will Person CG win the 2028 Democratic presidential nomination?,,False,0.0,1.0,2028-11-07T00:00:00Z
30829,Democratic Presidential Nominee 2028,1264485222.5733736,80047876.67593,128,559767,Will Person CH win the 2028 Democratic presidential nomination?,,False,0.0,1.0,2028-11-07T00:00:00Z
30829,Democratic Presidential Nominee 2028,1264485222.5733736,80047876.67593,128,559768,Will Person CI win the 2028 Democratic presidential nomination?,,False,0.0,1.0,2028-11-07T00:00:00Z
30829,Democratic Presidential Nominee 2028,1264485222.5733736,80047876.67593,128,559769,Will Person CJ win the 2028 Democratic presidential nomination?,,False,0.0,1.0,2028-11-07T00:00:00Z
30829,Democratic Presidential Nominee 2028,1264485222.5733736,80047876.67593,128,559770,Will Person CK win the 2028 Democratic presidential nomination?,,False,0.0,1.0,2028-11-07T00:00:00Z
30829,Democratic Presidential Nominee 2028,1264485222.5733736,80047876.67593,128,559771,Will Person CL win the 2028 Democratic presidential nomination?,,False,0.0,1.0,2028-11-07T00:00:00Z
30829,Democratic Presidential Nominee 2028,1264485222.5733736,80047876.67593,128,559772,Will Person CM win the 2028 Democratic presidential nomination?,,False,0.0,1.0,2028-11-07T00:00:00Z
30829,Democratic Presidential Nominee 2028,1264485222.5733736,80047876.67593,128,559773,Will Person CN win the 2028 Democratic presidential nomination?,,False,0.0,1.0,2028-11-07T00:00:00Z
30829,Democratic Presidential Nominee 2028,1264485222.5733736,80047876.67593,128,559774,Will Person CO win the 2028 Democratic presidential nomination?,,False,0.0,1.0,2028-11-07T00:00:00Z
30829,Democratic Presidential Nominee 2028,1264485222.5733736,80047876.67593,128,559775,Will Person CP win the 2028 Democratic presidential nomination?,,False,0.0,1.0,2028-11-07T00:00:00Z
30829,Democratic Presidential Nominee 2028,1264485222.5733736,80047876.67593,128,559776,Will Person CQ win the 2028 Democratic presidential nomination?,,False,0.0,1.0,2028-11-07T00:00:00Z
30829,Democratic Presidential Nominee 2028,1264485222.5733736,80047876.67593,128,559777,Will Person CR win the 2028 Democratic presidential nomination?,,False,0.0,1.0,2028-11-07T00:00:00Z
30829,Democratic Presidential Nominee 2028,1264485222.5733736,80047876.67593,128,559778,Will Person CS win the 2028 Democratic presidential nomination?,,False,0.0,1.0,2028-11-07T00:00:00Z
30829,Democratic Presidential Nominee 2028,1264485222.5733736,80047876.67593,128,559779,Will another person win the 2028 Democratic presidential nomination?,,False,0.0,1.0,2028-11-07T00:00:00Z
31552,Presidential Election Winner 2028,691117191.530249,63139690.48983,128,561229,Will JD Vance win the 2028 US Presidential Election?,0.2225,True,0.222,0.223,2028-11-07T00:00:00Z
31552,Presidential Election Winner 2028,691117191.530249,63139690.48983,128,561230,Will Gavin Newsom win the 2028 US Presidential Election?,0.082,True,0.081,0.083,2028-11-07T00:00:00Z
31552,Presidential Election Winner 2028,691117191.530249,63139690.48983,128,561231,Will Alexandria Ocasio-Cortez win the 2028 US Presidential Election?,0.1305,True,0.13,0.131,2028-11-07T00:00:00Z
31552,Presidential Election Winner 2028,691117191.530249,63139690.48983,128,561232,Will Pete Buttigieg win the 2028 US Presidential Election?,0.0245,True,0.024,0.025,2028-11-07T00:00:00Z
31552,Presidential Election Winner 2028,691117191.530249,63139690.48983,128,561233,Will Josh Shapiro win the 2028 US Presidential Election?,0.0245,True,0.024,0.025,2028-11-07T00:00:00Z
31552,Presidential Election Winner 2028,691117191.530249,63139690.48983,128,561234,Will Marco Rubio win the 2028 US Presidential Election?,0.1095,True,0.109,0.11,2028-11-07T00:00:00Z
31552,Presidential Election Winner 2028,691117191.530249,63139690.48983,128,561235,Will Wes Moore win the 2028 US Presidential Election?,0.008,True,0.007,0.009,2028-11-07T00:00:00Z
31552,Presidential Election Winner 2028,691117191.530249,63139690.48983,128,561236,Will Gretchen Whitmer win the 2028 US Presidential Election?,0.0045,True,0.004,0.005,2028-11-07T00:00:00Z
31552,Presidential Election Winner 2028,691117191.530249,63139690.48983,128,561237,Will Andy Beshear win the 2028 US Presidential Election?,0.01,True,0.009,0.011,2028-11-07T00:00:00Z
31552,Presidential Election Winner 2028,691117191.530249,63139690.48983,128,561238,Will Glenn Youngkin win the 2028 US Presidential Election?,0.0065,True,0.006,0.007,2028-11-07T00:00:00Z
31552,Presidential Election Winner 2028,691117191.530249,63139690.48983,128,561239,Will Kamala Harris win the 2028 US Presidential Election?,0.0375,True,0.037,0.038,2028-11-07T00:00:00Z
31552,Presidential Election Winner 2028,691117191.530249,63139690.48983,128,561240,Will Stephen Smith win the 2028 US Presidential Election?,0.0015,True,0.001,0.002,2028-11-07T00:00:00Z
31552,Presidential Election Winner 2028,691117191.530249,63139690.48983,128,561241,Will JB Pritzker win the 2028 US Presidential Election?,0.0035,True,0.003,0.004,2028-11-07T00:00:00Z
31552,Presidential Election Winner 2028,691117191.530249,63139690.48983,128,561242,Will Tulsi Gabbard win the 2028 US Presidential Election?,0.0025,True,0.002,0.003,2028-11-07T00:00:00Z
31552,Presidential Election Winner 2028,691117191.530249,63139690.48983,128,561243,Will Donald Trump win the 2028 US Presidential Election?,0.0235,True,0.023,0.024,2028-11-07T00:00:00Z
31552,Presidential Election Winner 2028,691117191.530249,63139690.48983,128,561244,Will Donald Trump Jr. win the 2028 US Presidential Election?,0.0075,True,0.007,0.008,2028-11-07T00:00:00Z
31552,Presidential Election Winner 2028,691117191.530249,63139690.48983,128,561245,Will Nikki Haley win the 2028 US Presidential Election?,0.0055,True,0.005,0.006,2028-11-07T00:00:00Z
31552,Presidential Election Winner 2028,691117191.530249,63139690.48983,128,561246,Will Ron DeSantis win the 2028 US Presidential Election?,0.0145,True,0.014,0.015,2028-11-07T00:00:00Z
31552,Presidential Election Winner 2028,691117191.530249,63139690.48983,128,561247,Will Tim Walz win the 2028 US Presidential Election?,0.0015,True,0.001,0.002,2028-11-07T00:00:00Z
31552,Presidential Election Winner 2028,691117191.530249,63139690.48983,128,561248,Will Vivek Ramaswamy win the 2028 US Presidential Election?,0.0015,True,0.001,0.002,2028-11-07T00:00:00Z
